"gene","PSOL_PASI_age_sex","ADL_pEASI_age_sex","AD_pEASI_age_sex","PSO_PASI_age_sex","Missing value count","Min"
"ENSG00000143365","0.015180589249006","0.0200678294512665","0.0336399341482418",,1,"0.015180589249006"
"ENSG00000134070","0.0073900112499958","0.0157230551413826","0.0157349392524838",,1,"0.0073900112499958"
"ENSG00000205531","0.0336271889554137","0.011854518509573",,,2,"0.011854518509573"
"ENSG00000232160","0.012902468633866","0.0391118647043305",,,2,"0.012902468633866"
"ENSG00000101347","0.015895289155462","0.0422889445794776",,,2,"0.015895289155462"
"ENSG00000205838","0.0363370578202314","0.021459934267294",,,2,"0.021459934267294"
"ENSG00000189136","0.0491043800836417",,"0.037575183096237",,2,"0.037575183096237"
"ENSG00000007264",,"0.0448051766379128","0.0086188474268315",,2,"0.0086188474268315"
"ENSG00000136279","0.0250457572697009","0.0121395990064154",,,2,"0.0121395990064154"
"ENSG00000106789","0.0121940222778068",,"0.0141294920653596",,2,"0.0121940222778068"
"ENSG00000196954","0.0126432339154449","0.0382366480733542",,,2,"0.0126432339154449"
"ENSG00000276644",,"0.0495834921591272","0.0131312858747661",,2,"0.0131312858747661"
"ENSG00000116478","0.0246824358476224","0.0133756572996869",,,2,"0.0133756572996869"
"ENSG00000112715",,"0.0137025011403333","0.0350574667625527",,2,"0.0137025011403333"
"ENSG00000005187",,"0.0416647408538169","0.0138281487216515",,2,"0.0138281487216515"
"ENSG00000026751","0.0221561644256053",,"0.0141294920653596",,2,"0.0141294920653596"
"ENSG00000109320","0.0419746005190828","0.0144360443052983",,,2,"0.0144360443052983"
"ENSG00000148175","0.0463496015837938",,"0.00153908647908403",,2,"0.00153908647908403"
"ENSG00000110324",,"0.0268198271770795","0.0157137945367471",,2,"0.0157137945367471"
"ENSG00000163082","0.0288607163407136",,"0.0157137945367471",,2,"0.0157137945367471"
"ENSG00000164733","0.0250457572697009","0.0157230551413826",,,2,"0.0157230551413826"
"ENSG00000204610","0.0209032078969194","0.0157230551413826",,,2,"0.0157230551413826"
"ENSG00000210144","0.0160902660790306",,"0.0302212464049976",,2,"0.0160902660790306"
"ENSG00000106785","0.0275117226241254","0.0167516219197051",,,2,"0.0167516219197051"
"ENSG00000119938","0.0168351108674235","0.0470839036483312",,,2,"0.0168351108674235"
"ENSG00000160049","0.0175276922781341","0.0462494899161243",,,2,"0.0175276922781341"
"ENSG00000110756","0.0182583648430496","0.0438466960729278",,,2,"0.0182583648430496"
"ENSG00000108788","0.0195687608495487","0.0358898359101792",,,2,"0.0195687608495487"
"ENSG00000204613","0.033532400715812","0.0196827212710867",,,2,"0.0196827212710867"
"ENSG00000197622","0.037654484113069","0.0204025824085602",,,2,"0.0204025824085602"
"ENSG00000115607",,"0.0379994089446907","0.0214078055252842",,2,"0.0214078055252842"
"ENSG00000171606","0.0215477650595893","0.0375116393793993",,,2,"0.0215477650595893"
"ENSG00000027075","0.0222911682752667","0.0388176609248407",,,2,"0.0222911682752667"
"ENSG00000185345","0.0223125809485026","0.0391118647043305",,,2,"0.0223125809485026"
"ENSG00000119686","0.0224855233730938","0.046248720609037",,,2,"0.0224855233730938"
"ENSG00000177628","0.0231451783243768","0.0305985692037028",,,2,"0.0231451783243768"
"ENSG00000176986","0.0449593500704079","0.0240289192677234",,,2,"0.0240289192677234"
"ENSG00000151689","0.0262671612562125","0.0367943853976717",,,2,"0.0262671612562125"
"ENSG00000119714",,"0.039756876034595","0.00269219767667886",,2,"0.00269219767667886"
"ENSG00000177889","0.0314929423123838","0.0344351986072308",,,2,"0.0314929423123838"
"ENSG00000165030","0.0329005147644032","0.039756876034595",,,2,"0.0329005147644032"
"ENSG00000113749","0.0492650790642311","0.00329258609613539",,,2,"0.00329258609613539"
"ENSG00000188313","0.0350898507991843","0.0478751506528079",,,2,"0.0350898507991843"
"ENSG00000169299","0.0387674806547632","0.0367943853976717",,,2,"0.0367943853976717"
"ENSG00000029153","0.0495383155287528","0.0375116393793993",,,2,"0.0375116393793993"
"ENSG00000124224","0.0375436250474014","0.041160494850435",,,2,"0.0375436250474014"
"ENSG00000134072",,"0.0407699658165937","0.0443548958938804",,2,"0.0407699658165937"
"ENSG00000136950","0.0496880544161873",,"0.0443548958938804",,2,"0.0443548958938804"
"ENSG00000153292","0.0479777963025244","0.0462494899161243",,,2,"0.0462494899161243"
"ENSG00000075426","0.00481047269780392","0.0484422670558157",,,2,"0.00481047269780392"
"ENSG00000185112","0.00481047269780392","0.0249700668266176",,,2,"0.00481047269780392"
"ENSG00000003400","0.00521426559483052","0.0305985692037028",,,2,"0.00521426559483052"
"ENSG00000172602","0.0329048177248594","0.00548252448589141",,,2,"0.00548252448589141"
"ENSG00000113971","0.00561453864642711",,,"0.00862963539448999",2,"0.00561453864642711"
"ENSG00000163221","0.0171815143814151","0.00626653272416601",,,2,"0.00626653272416601"
"ENSG00000198074","0.0168351108674235","0.00626653272416601",,,2,"0.00626653272416601"
"ENSG00000072803","0.00718739019335076","0.0382366480733542",,,2,"0.00718739019335076"
"ENSG00000159871","0.00739384350449707","0.0462494899161243",,,2,"0.00739384350449707"
"ENSG00000163565","0.022011225677153","0.00939641927773837",,,2,"0.00939641927773837"
"ENSG00000198492","0.00961250749853112","0.0214239164103788",,,2,"0.00961250749853112"
"ENSG00000227176","0.0348254637967",,,,3,"0.0348254637967"
"ENSG00000273455","0.01754756855019",,,,3,"0.01754756855019"
"ENSG00000078902","0.02644553117379",,,,3,"0.02644553117379"
"ENSG00000151014","0.02644553117379",,,,3,"0.02644553117379"
"ENSG00000165949","0.02644553117379",,,,3,"0.02644553117379"
"ENSG00000287408","0.02644553117379",,,,3,"0.02644553117379"
"ENSG00000082482",,"0.03298687205773",,,3,"0.03298687205773"
"ENSG00000047621","0.03999669779497",,,,3,"0.03999669779497"
"ENSG00000169905","0.03999669779497",,,,3,"0.03999669779497"
"ENSG00000171823","0.03999669779497",,,,3,"0.03999669779497"
"ENSG00000260597","0.03999669779497",,,,3,"0.03999669779497"
